id,korean_name,english_name,kcd,vcode,support,primary_specialty,all_specialties,classification_source,status,orpha_code,orpha_name
1249,AUTS2 관련 장애,AUTS2 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1248,A형혈우병,Haemophilia A,D66,V009,의료비(급여부분),미분류,[],,미분류,,
1247,B- 또는 T-세포에 대한 자가항체를 동반한 공통 가변성 면역결핍,Common variable immunodeficiency with autoantibodies to B-or T-cells,D83.2,V111,의료비(급여부분),미분류,[],,미분류,,
1246,B-세포 수 및 기능의 현저한 이상에 의한 공통 가변성 면역결핍,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,D83.0,V111,의료비(급여부분),미분류,[],,미분류,,
1245,B-세포수가 정상이거나 감소된 중증복합면역결핍,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers,D81.2,V111,의료비(급여부분),미분류,[],,미분류,,
1244,Birk-Barel 증후군,Birk-Barel syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,166108,Birk-Barel syndrome
1243,Bryant-Li-Bhoj 신경발달 증후군 1,Bryant-Li-Bhoj neurodevelopmental syndrome 1,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1242,B형혈우병,Haemophilia B,D67,V009,의료비(급여부분),미분류,[],,미분류,,
1241,C1에스터레이스억제인자결핍,C1 esterase inhibitor[C1-INH] deficiency,D84.1,V111,의료비(급여부분),미분류,[],,미분류,,
1240,CACNA1A 관련 장애,CACNA1A-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1239,CACNA1E 관련 장애,CACNA1E related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1238,CAD 관련 장애,CAD related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1237,CAMK2A 관련 질환,CAMK2A related disease,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1236,CASK 관련 장애,CASK-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1235,CDKL5-관련 장애,CDKL5-related disorder,G40.40,V900,의료비(급여부분),미분류,[],,미분류,,
1234,COL4A1 관련 장애,Collagen alpha1(Ⅳ) chain related disorders,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1233,COL4A3BP 관련 정신 지체,COL4A3BP-related mental retardation,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1232,CTLA4 결핍,CTLA4 deficiency,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1231,CTNNB1 관련 장애,CTNNB1-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1230,CUL4B 관련 지적장애[카베자스형의 X염색체 연관 지적장애],"CUL4B related intellectual disability[X-linked intellectual disability, Cabezas type]",없음,V900,의료비(급여부분),미분류,[],,미분류,,
1229,CUX1 유전자 변이,CUX1 gene mutation,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1228,CYFIP2 유전자 돌연변이,CYFIP2 gene mutation,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1227,Chitayat 증후군,Chitayat syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1226,C형혈우병,Haemophilia C,D68.1,V009,의료비(급여부분),미분류,[],,미분류,,
1225,DDX3X 관련 장애,DDX3X-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1224,DDX6 관련 장애,DDX6 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1223,DEAF1 관련 장애,DEAF1 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1222,DHDDS 유전자 변이에 의한 운동 이상을 동반하거나 동반하지 않는 발달지연 및 발작,Developmental delay and seizures with or without movement abnormalities (DEDSM) due to DHDDS gene,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1221,DLL1 관련 질환,DLL1-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1220,DNA복구결손을 수반한 소뇌성 운동실조,Cerebellar ataxia with defective DNA repair,G11.3,V123,"의료비(급여부분), 간병비, 인공호흡기 및 기침유발기, 보조기기 구입비",신경과,"[""신경과""]",manual_primary_whitelist:\bataxia\b,분류완료,,
1219,DOCK8 유전자 변이 또는 결손,DOCK8 gene mutation or deletion,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1218,DYRK1A 증후군,DYRK1A syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,464306,DYRK1A-related intellectual disability syndrome
1217,Den Hoed-de Boer-Voisin 증후군,Den Hoed-de Boer-Voisin syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과"", ""치과/구강악안면외과""]",en_product3_181.xml; en_product3_197.xml,리뷰필요,684232,Intellectual disability-epilepsy-dental anomalies-facial dysmorphism syndrome
1216,Dent 질환,Dent disease,없음,V900,의료비(급여부분),신장내과,"[""신장내과"", ""내분비대사내과"", ""정형외과""]",en_product3_188.xml; en_product3_193.xml; en_product3_199.xml,분류완료,1652,Dent disease
1215,Desanto-shinawi 증후군,Desanto-shinawi syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,466943,WAC-related facial dysmorphism-developmental delay-behavioral abnormalities syndrome
1214,EEF1A2 관련 장애,EEF1A2-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1213,FBXO11 관련 장애,FBXO11-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1212,"FBXW7 관련 보통염색체 우성 발달지연, 근긴장저하 및 언어장애","FBXW7 related autosomal dominant developmental delay, hypotonia, and impaired language",없음,V900,의료비(급여부분),미분류,[],,미분류,,
1211,FG2 증후군,FG2 syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1210,FLNA 관련 뇌실주위 결절성 이소증,FLNA-related periventricular nodular heterotopia,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1209,FOXP1 관련 장애,FOXP1 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1208,FTSJ1 관련 장애,FTSJ1 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1207,Foxp4 관련 발달 장애,Foxp4 related developmental disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1206,G6PD결핍빈혈,G6PD deficiency anaemia,D55.0,V163,의료비(급여부분),미분류,[],,미분류,,
1205,GABRB3 관련 장애,GABRB3 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1204,GATA2 결핍,GATA2 deficiency,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1203,GATAD2B와 연관된 신경발달장애,GATAD2B associated neurodevelopmental disorder[GAND],없음,V900,의료비(급여부분),미분류,[],,미분류,,
1202,GJB2 관련 감각신경성 난청,GJB2 related sensory neural hearing loss,없음,V900,의료비(급여부분),이비인후과,"[""이비인후과""]",manual_primary_whitelist:감각신경성 난청,분류완료,,
1201,GM₁-강글리오시드증,GM₁-gangliosidosis,E75.1,V117,의료비(급여부분),내분비대사내과,"[""내분비대사내과"", ""신경과"", ""정형외과""]",en_product3_150.xml; en_product3_181.xml; en_product3_199.xml,분류완료,354,GM1 gangliosidosis
1200,GM₂-강글리오시드증,GM₂-gangliosidosis,E75.0,V117,의료비(급여부분),내분비대사내과,"[""내분비대사내과"", ""신경과""]",en_product3_150.xml; en_product3_181.xml,분류완료,309152,GM2 gangliosidosis
1199,GM₂-강글리오시드증 NOS,GM₂gangliosidosis NOS,E75.0,V117,의료비(급여부분),미분류,[],,미분류,,
1198,GM₃-강글리오시드증,GM₃-gangliosidosis,E75.1,V117,의료비(급여부분),미분류,[],,미분류,,
1197,GNAO1 뇌병증,GNAO1 encephalopathy,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1196,GNB1 관련 장애,GNB1-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1195,GNB2 관련 장애,GNB2 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1194,GRIN1 관련 신경발달장애,GRIN1 related neurodevelopmental disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1193,GRIN2A 관련 장애,GRIN2A related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1192,GRIN2B 관련 발달지연,GRIN2B related developmental delay,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1191,GRM7 관련 발달지연,GRM7 related developmental delay,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1190,HK1 관련 장애,HK1 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1189,HNF1B 유전자 돌연변이,HNF1B gene mutation,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1188,HNRNPU-관련 장애,HNRNPU-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1187,HUWE1 관련 장애,HUWE1 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1186,Hiatt-Neu-Copper 신경발달 증후군,Hiatt-Neu-Copper neurodevelopmental syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1185,Hijazi-Reis 증후군,Hijazi-Reis syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1184,Hoyeraal-Hreidarsson 증후군,Hoyeraal-Hreidarsson syndrome,없음,V900,의료비(급여부분),류마티스내과/면역내과,"[""류마티스내과/면역내과"", ""신경과"", ""혈액종양내과""]",en_product3_181.xml; en_product3_194.xml; en_product3_195.xml,리뷰필요,3322,Hoyeraal-Hreidarsson syndrome
1183,IL12RB1 결핍,IL12RB1 deficiency,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1182,Jansen-de Vries 증후군,Jansen-de Vries syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,653767,Jansen-de Vries syndrome
1181,KAT6B 관련 증후군,KAT6B-related syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1180,KCNQ5 관련 지적 장애,KCNQ5 related intellectual disability,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1179,KID 증후군,KID syndrome (Keratitis-ichthyosis-deafness),없음,V900,의료비(급여부분),미분류,[],,미분류,,
1178,"KIF11 관련 맥락막망막병증, 소두증, 정신지체","KIF11 related chorioretinopathy, microcephaly, mental retardation",없음,V900,의료비(급여부분),신경과,"[""신경과"", ""안과""]",manual_primary_whitelist:\bchorioretinopath(y|ies)\b,분류완료,,
